Level	NeedExp
1	0
2	3000
3	3105
4	3214
5	3326
6	3443
7	3563
8	3688
9	3817
10	3950
11	4089
12	4232
13	4380
14	4533
15	4692
16	4856
17	5026
18	5202
19	5384
20	5572
21	5768
22	5969
23	6178
24	6395
25	6618
26	6850
27	7090
28	7338
29	7595
30	7861
31	8136
32	8420
33	8715
34	9020
35	9336
36	9663
37	10001
38	10351
39	10713
40	11088
41	11476
42	11878
43	12294
44	12724
45	13169
46	13630
47	14107
48	14601
49	15112
50	15641
51	16188
52	16755
53	17341
54	17948
55	18576
56	19226
57	19899
58	20596
59	21317
60	22063
61	22835
62	23634
63	24461
64	25318
65	26204
66	27121
67	28070
68	29053
69	30069
70	31122
71	32211
72	33338
73	34505
74	35713
75	36963
76	38257
77	39596
78	40981
79	42416
80	43900
81	45437
82	47027
83	48673
84	50377
85	52140
86	53965
87	55854
88	57808
89	59832
90	61926
91	64093
92	66337
93	68658
94	71061
95	73548
96	76123
97	78787
98	81545
99	84399
100	87353
101	90410
102	93574
103	96849
104	100239
105	103747
106	107379
107	111137
108	115027
109	119053
110	123219
111	127532
112	131996
113	136616
114	141397
115	146346
116	151468
117	156769
118	162256
119	167935
120	173813
121	179897
122	186193
123	192710
124	199455
125	206435
126	213661
127	221139
128	228879
129	236889
130	245181
131	253762
132	262644
133	271836
134	281350
135	291198
136	301390
137	311938
138	322856
139	334156
140	345851
141	357956
142	370485
143	383452
144	396872
145	410763
146	425140
147	440020
148	455420
149	471360
150	487858
151	504933
152	522605
153	540896
154	559828
155	579422
156	599701
157	620691
158	642415
159	664900
160	688171
161	712257
162	737186
163	762988
164	789692
165	817332
166	845938
167	875546
168	906190
169	937907
170	970734
171	1004709
172	1039874
173	1076270
174	1113939
175	1152927
176	1193279
177	1235044
178	1278271
179	1323010
180	1369315
181	1417242
182	1466845
183	1518185
184	1571321
185	1626317
186	1683238
187	1742152
188	1803127
189	1866236
190	1931555
191	1999159
192	2069130
193	2141549
194	2216503
195	2294081
196	2374374
197	2457477
198	2543489
199	2632511
200	2724649
201	2820011
202	2918712
203	3020867
204	3126597
205	3236028
206	3349289
207	3466514
208	3587842
209	3713416
210	3843386
211	3977905
212	4117131
213	4261231
214	4410374
215	4564737
216	4724503
217	4889860
218	5061006
219	5238141
220	5421476
221	5611227
222	5807620
223	6010887
224	6221268
225	6439012
226	6664378
227	6897631
228	7139048
229	7388915
230	7647527
231	7915190
232	8192222
233	8478950
234	8775713
235	9082863
236	9400763
237	9729790
238	10070332
239	10422794
240	10787592
241	11165158
242	11555938
243	11960396
244	12379010
245	12812275
246	13260705
247	13724829
248	14205198
249	14702380
250	15216964
251	15749557
252	16300792
253	16871320
254	17461816
255	18072979
256	18705534
257	19360227
258	20037835
259	20739159
260	21465030
261	22216306
262	22993877
263	23798663
264	24631616
265	25493722
266	26386003
267	27309513
268	28265346
269	29254633
270	30278545
271	31338294
272	32435134
273	33570364
274	34745327
275	35961413
276	37220062
277	38522765
278	39871061
279	41266549
280	42710878
281	44205759
282	45752960
283	47354314
284	49011715
285	50727125
286	52502574
287	54340164
288	56242070
289	58210542
290	60247911
291	62356588
292	64539069
293	66797936
294	69135864
295	71555619
296	74060066
297	76652168
298	79334994
299	82111719
300	84985629
301	87960126
302	91038730
303	94225086
304	97522964
305	100936268
306	104469037
307	108125453
308	111909844
309	115826689
310	119880623
311	124076445
312	128419120
313	132913789
314	137565772
315	142380574
316	147363894
317	152521631
318	157859888
319	163384984
320	169103458
321	175022079
322	181147852
323	187488027
324	194050108
325	200841861
326	207871327
327	215146823
328	222676962
329	230470655
330	238537128
331	246885928
332	255526935
333	264470378
334	273726841
335	283307281
336	293223036
337	303485842
338	314107846
339	325101621
340	336480178
341	348256984
342	360445978
343	373061588
344	386118743
345	399632899
346	413620051
347	428096752
348	443080139
349	458587944
350	474638522
351	491250870
352	508444650
353	526240213
354	544658621
355	563721672
356	583451931
357	603872748
358	625008295
359	646883585
360	669524510
361	692957868
362	717211394
363	742313792
364	768294775
365	795185092
366	823016571
367	851822151
368	881635926
369	912493183
370	944430445
371	977485510
372	1011697503
373	1047106916
374	1083755658
375	1121687106
376	1160946154
377	1201579270
378	1243634544
379	1287161753
380	1332212415
381	1378839849
382	1427099244
383	1477047717
384	1528744388
385	1582250441
386	1637629207
387	1694946229
388	1754269347
389	1815668774
390	1879217181
391	1944989782
392	2013064425
393	2083521680
394	2156444938
395	2231920511
396	2310037729
397	2390889050
398	2474570166
399	2561180122
400	2650821426
401	2743600176
402	2839626183
403	2939013099
404	3041878557
405	3148344307
406	3258536358
407	3372585130
408	3490625610
409	3612797506
410	3739245419
411	3870119008
412	4005573174
413	4145768235
414	4290870123
415	4441050577
416	4596487347
417	4757364405
418	4923872159
419	5096207684
420	5274574953
421	5459185077
422	5650256554
423	5848015534
424	6052696077
425	6264540440
426	6483799356
427	6710732333
428	6945607965
429	7188704243
430	7440308892
431	7700719703
432	7970244893
433	8249203464
434	8537925585
435	8836752981
436	9146039335
437	9466150712
438	9797465987
439	10140377296
440	10495290502
441	10862625669
442	11242817568
443	11636316183
444	12043587249
445	12465112803
446	12901391751
447	13352940462
448	13820293378
449	14304003646
450	14804643774
451	15322806306
452	15859104527
453	16414173185
454	16988669247
455	17583272670
456	18198687214
457	18835641266
458	19494888711
459	20177209816
460	20883412159
461	21614331585
462	22370833190
463	23153812352
464	23964195784
465	24802942636
466	25671045629
467	26569532226
468	27499465854
469	28461947159
470	29458115309
471	30489149345
472	31556269572
473	32660739007
474	33803864872
475	34987000143
476	36211545148
477	37478949228
478	38790712451
479	40148387387
480	41553580945
481	43007956278
482	44513234748
483	46071197964
484	47683689893
485	49352619039
486	51079960706
487	52867759330
488	54718130907
489	56633265489
490	58615429781
491	60666969823
492	62790313767
493	64987974749
494	67262553865
495	69616743250
496	72053329264
497	74575195788
498	77185327641
499	79886814108
500	82682852602
501	85576752443
502	88571938779
503	91671956636
504	94880475118
505	98201291747
506	101638336958
507	105195678752
508	108877527508
509	112688240971
510	116632329405
511	120714460934
512	124939467067
513	129312348414
514	133838280609
515	138522620430
516	143370912145
517	148388894070
518	153582505363
519	158957893050
520	164521419307
521	170279668983
522	176239457397
523	182407838406
524	188792112750
525	195399836696
526	202238830981
527	209317190065
528	216643291717
529	224225806928
530	232073710170
531	240196290026
532	248603160177
533	257304270783
534	266309920260
535	275630767470
536	285277844331
537	295262568883
538	305596758794
539	316292645351
540	327362887939
541	338820589016
542	350679309632
543	362953085469
544	375656443461
545	388804418982
546	402412573646
547	416497013724
548	431074409204
549	446162013526
550	461777684000
551	477939902940
552	494667799542
553	511981172526
554	529900513565
555	548447031540
556	567642677643
557	587510171361
558	608073027359
559	629355583316
560	651383028732
561	674181434738
562	697777784954
563	722200007427
564	747477007687
565	773638702956
566	800716057559
567	828741119574
568	857747058759
569	887768205816
570	918840093019
571	950999496275
572	984284478645
573	1018734435397
574	1054390140636
575	1091293795558
576	1129489078403
577	1169021196147
578	1209936938012
579	1252284730843
580	1296114696422
581	1341478710797
582	1388430465675
583	1437025531973
584	1487321425592
585	1539377675488
586	1593255894130
587	1649019850425
588	1706735545190
589	1766471289271
590	1828297784396
591	1892288206850
592	1958518294089
593	2027066434382
